entidad_ejecutora,proyectos,presupuesto_vigente,ejecutado_total,no_ejecutado,riesgo_fiscal_total,riesgo_fiscal_prom,n_no_iniciado,n_en_ejecucion,n_en_meseta,n_finalizado,ratio_ejec_agg,n_inconsistencia_estado_momento,presupuesto_inconsistencia_estado_momento,score_concentracion_baja_ejec
CONFEDERACION DEPORTIVA AUTONOMA DE GUATEMALA,4,35020821.94,8540815.22,26480006.72,27.504042247252855,6.876010561813214,3,1,0,0,0.24387820578947844,0,0.0,36.77781660145469
CONSULTORIO DE ZACAPA,1,1353835.0,1353834.39,0.6100000001024455,6.361377929710554e-06,6.361377929710554e-06,0,0,1,0,0.999999549428106,0,0.0,1.1450480273478999e-05
CONTRALORIA GENERAL DE CUENTAS,1,8907357.0,1444234.91,7463122.09,13.407768109804227,13.407768109804227,0,1,0,0,0.16213955609952535,0,0.0,13.407768109804227
DEPARTAMENTO DE INFRAESTRUCTURA INSTITUCIONAL,4,8940000.0,4419176.88,4520823.12,32.96469820223232,8.24117455055808,1,3,0,0,0.4943150872483221,0,0.0,12.950425769576047
DIRECCION GENERAL DE CAMINOS,153,2371965960.0,1199362824.54,1173252693.69,750.13538289954,4.902845639866275,88,40,25,0,0.5056408248539958,0,0.0,787.5732372879481
"DIRECCION GENERAL DE EDUCACION FISICA, RECREACION Y DEP. ESCOLAR",3,0.0,0.0,0.0,0.0,0.0,3,0,0,0,,0,0.0,0.0
DIRECCION GENERAL DE LA POLICIA NACIONAL CIVIL,11,5600000.0,678807.0,4921193.0,26.570426654216895,2.4154933322015357,10,0,1,0,0.12121553571428571,0,0.0,106.50741444037723
DIRECCION GENERAL DE LAS ARTES,1,4251388.0,2151371.87,2100016.13,7.539192950968588,7.539192950968588,0,1,0,0,0.506039879211213,0,0.0,7.539192950968588
DIRECCION GENERAL DE PATRIMONIO CULTURAL Y NATURAL,1,0.0,0.0,0.0,0.0,0.0,1,0,0,0,,0,0.0,0.0
DIRECCION GENERAL DEL DEPORTE Y RECREACION,24,55379099.0,7853118.79,47525980.21,193.63607235593034,8.068169681497098,18,3,2,1,0.1418065467262297,1,2232324.0,205.0379937812683
EMPRESA DE TRANSPORTE Y CONTROL DE ENERGIA ELECTRICA,8,32965971.0,148535.03,32817435.97,55.862645694608084,6.9828307118260105,7,1,0,0,0.00450570771902942,0,0.0,89.61153859166507
EMPRESA ELECTRICA MUNICIPAL DE HUEHUETENANGO,3,5326000.0,127140.0,5198860.0,23.168688664373924,7.722896221457975,2,0,1,0,0.023871573413443484,0,0.0,45.3551569463319
EMPRESA ELECTRICA MUNICPAL DE ZACAPA,2,43500000.0,0.0,0.0,33.27999550725876,16.63999775362938,2,0,0,0,0.0,0,0.0,38.69419734190432
EMPRESA MUNICIPAL DE AGUA -EMPAGUA-,4,205129.86,353920.0,205129.86,12.23140339593071,3.0578508489826777,3,0,1,0,1.7253460807704935,0,0.0,0.0
EMPRESA PORTUARIA NACIONAL SANTO TOMAS DE CASTILLA,6,161368323.7,7752760.829999999,153615562.87,42.81673156949729,7.1361219282495485,4,0,2,0,0.04804388279085779,0,0.0,89.95604544757543
EMPRESA PORTUARIA QUETZAL,11,80781191.0,25668971.099999998,55112219.9,96.3900069381947,8.762727903472246,7,3,1,0,0.3177592553692356,0,0.0,74.53038612398734
FEDERACION NACIONAL DE FUTBOL,1,0.0,0.0,0.0,0.0,0.0,1,0,0,0,,0,0.0,0.0
FONDO DE DESARROLLO SOCIAL,54,74987655.0,31190010.080000002,43797644.92,178.49000315895023,3.3053704288694488,42,5,5,2,0.4159352640111229,2,315286.0,319.8406181262244
FONDO SOCIAL DE SOLIDARIDAD,81,771545728.0,216865080.54,554680647.46,637.2379380718925,7.867135037924599,59,14,8,0,0.2810787133799022,0,0.0,629.6709460091846
GERENCIA ADMINISTRATIVA,3,8394309.0,0.0,8394309.0,44.41717553700528,14.80572517900176,3,0,0,0,0.0,0,0.0,44.64058102933807
GERENCIA DE ELECTRIFICACIÓN RURAL Y OBRAS,409,162783079.0,30045949.7,132737129.3,2463.4216988689573,6.023035938554908,345,22,42,0,0.18457661499325737,0,0.0,3724.9809551863536
HOSPITAL DE CUILAPA,1,8000000.0,0.0,8000000.0,15.894952224644102,15.894952224644102,1,0,0,0,0.0,0,0.0,25.431923559430565
HOSPITAL DE JOYABAJ,1,10484177.0,5460313.09,5023863.91,7.746212051658274,7.746212051658274,0,0,1,0,0.5208146609886498,0,0.0,13.943181692984894
